startup,industry,season,ask_amount,equity_offered,sentiment_label,sentiment_score,investment_score,risk_level,verdict,actual_deal,predicted_deal
TheFrozenFarmer,Food and Beverage,11,125000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
RoqInnovation,Lifestyle/Home,13,200000.0,15.0,Positive,2,70.0,Low,Consider,1,1
Heather'sChoice,Food and Beverage,15,250000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Outer,Lifestyle/Home,11,750000.0,4.0,Neutral,0,61.0,Medium-Low,Consider,1,1
Radiate,Fitness/Sports/Outdoors,9,50000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Henry'sHumdingers,Food and Beverage,5,150000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,1,1
Forte3D,Fashion/Beauty,17,250000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Street FC,Technology/Software,17,250000.0,2.5,Neutral,0,61.0,Medium-Low,Consider,1,1
Pristine,Health/Wellness,10,50000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,1,1
BodyWalking,Fashion/Beauty,4,100000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
JaneFoodie,Food and Beverage,16,300000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Robin,Fitness/Sports/Outdoors,9,500000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,0,1
GladiatorLacrosse,Fitness/Sports/Outdoors,7,100000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,0,1
CaveShake,Food and Beverage,10,250000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
LiddUp,Food and Beverage,4,100000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
FryAway,Lifestyle/Home,14,250000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
MisfitFoods,Food and Beverage,12,250000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
TheRealElf,Lifestyle/Home,13,125000.0,25.0,Neutral,0,61.0,Medium-Low,Consider,1,1
PulpPantry,Food and Beverage,13,500000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,1,1
TheCaddyGirls,Fitness/Sports/Outdoors,6,100000.0,20.0,Neutral,0,65.0,Medium-Low,Consider,0,1
IceChipsCandy,Food and Beverage,4,250000.0,15.0,Neutral,0,65.0,Medium-Low,Consider,1,1
Mama'sMilkBox,Fashion/Beauty,8,200000.0,20.0,Neutral,0,67.4,Medium-Low,Consider,0,1
VirtuixOmni,Electronics,5,2000000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
Quickflip,Fashion/Beauty,10,500000.0,5.0,Neutral,0,65.0,Medium-Low,Consider,1,1
LlamaBrew,Green/CleanTech,1,125000.0,10.0,Neutral,0,65.0,Medium-Low,Consider,0,1
